OBJECTNUMMER;CodeJ;_2021;_2020;_2019;_2018;_2017;_2016;_2015;_2014;_2013;_2012;_2011;_2010;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
322;"PA10";20.7;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
323;"PA11";19.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
324;"PA12";17.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
325;"PD1";18.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
326;"PD2";19.3;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
327;"PD3";16.2;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
328;"PD4";15;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
329;"PD5";17.3;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
330;"PD6";20.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
331;"PD7";18;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
332;"PD8";19.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
333;"PD9";15.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
334;"PD10";20.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
335;"PD11";15;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
336;"PD12";18.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
337;"PD13";21.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
338;"PD14";16.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
339;"PD15";16.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
340;"PD16";15.1;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
341;"PD17";14.7;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
342;"PD18";15.7;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
343;"PD19";15.3;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
344;"PD20";17.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
345;"PD21";16;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
346;"PD22";14.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
347;"PD23";16.2;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
348;"PD24";15.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
349;"PD25";16.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
350;"PD26";15.9;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
351;"PD27";18.7;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
352;"PD28";18.2;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
353;"PD29";15.2;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
354;"PD30";16.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
355;"PD31";16;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
356;"PD33";15;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
357;"MBP1";16.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
358;"PD32";15.3;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
359;"GK151";16.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
360;"CABD";23.6;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
361;"CVH28";19.2;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
362;"JTHS";19.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
363;"TK18";13.2;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
364;"IJMS89";18.2;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
365;"IJDL";30.8;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
366;"IJWP";26.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
367;"JHK";22.7;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
368;"DDP14";14.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
369;"VWH31";21.3;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
370;"KL49";20.2;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
371;"SR14";16.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
372;"CDK";16.4;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
373;"BVS";28.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
374;"ADLS";21;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;
375;"LV243";17.5;0;0;0;0;0;0;0;0;0;0;0;"0";"0";0;0;

